stop_id,stop_name,fullName,stop_id,municipality,district_code,mainTrafficType,idosCategory,lat,lon,avgJtskX,avgJtskY,numStops
Bartoušov zast.,Bartoušov zast.,Bartoušov zastávka,Bartoušov zast.,Jičíněves,JC,train,600003,50.3549271,15.3107815,-675994.25,-1021798.63,1
Barvy a laky,Barvy a laky,Barvy a laky,Barvy a laky,Praha,AB,bus,301003,50.065506,14.5370808,-734927.0,-1046556.75,2
Basilejské náměstí,Basilejské náměstí,Basilejské náměstí,Basilejské náměstí,Praha,AB,bus,301003,50.08719,14.4709206,-739292.75,-1043526.75,2
Bašť,Bašť,Bašť,Bašť,Bašť,PH,bus,301003,50.2044678,14.4739017,-737312.25,-1030632.0,2
"Bašť,Baštěk","Bašť,Baštěk","Bašť,Baštěk","Bašť,Baštěk",Bašť,PH,bus,301003,50.2044563,14.4626789,-738106.2,-1030524.63,2
"Bašť,Měšická","Bašť,Měšická","Bašť,Měšická","Bašť,Měšická",Bašť,PH,bus,301003,50.2023468,14.4847355,-736578.0,-1030970.75,2
Bašteckého,Bašteckého,Bašteckého,Bašteckého,Praha,AB,bus,301003,50.03994,14.3361454,-749569.2,-1047414.69,2
Baterie,Baterie,Baterie,Baterie,Praha,AB,tram,301003,50.0923958,14.3696194,-746394.8,-1041964.88,2
"Bavorov,nám.","Bavorov,nám.","Bavorov,náměstí","Bavorov,nám.",Bavorov,ST,bus,301003,49.12162,14.0784588,-782232.4,-1145958.13,2
"Bavorov,Svinětice","Bavorov,Svinětice","Bavorov,Svinětice","Bavorov,Svinětice",Bavorov,ST,bus,301003,49.1410522,14.09734,-780564.0,-1144012.0,2
"Bavoryně,rozc.","Bavoryně,rozc.","Bavoryně,rozcestí","Bavoryně,rozc.",Bavoryně,BE,bus,301003,49.9002228,13.9608631,-778398.9,-1059033.5,2
Bazar,Bazar,Bazar,Bazar,Praha,AB,bus,301003,50.09875,14.6714659,-724900.9,-1044180.13,2
Bazén Hloubětín,Bazén Hloubětín,Bazén Hloubětín,Bazén Hloubětín,Praha,AB,bus,301003,50.1044769,14.5355759,-734449.4,-1042247.38,2
Bazovského,Bazovského,Bazovského,Bazovského,Praha,AB,bus,301003,50.06716,14.3075581,-751180.1,-1044134.0,2
Bdín,Bdín,Bdín,Bdín,Bdín,RA,bus,301003,50.21692,13.8550243,-780858.0,-1023088.81,2
Bečovská,Bečovská,Bečovská,Bečovská,Praha,AB,bus,301003,50.0431137,14.5868864,-731727.7,-1049503.88,2
Bečváry,Bečváry,Bečváry,Bečváry,Bečváry,KO,bus,301003,49.9568138,15.08019,-697923.5,-1063647.63,2
Bečváry (vlak),Bečváry,Bečváry,Bečváry (vlak),Bečváry,KO,train,600003,49.9556541,15.07087,-698603.2,-1063690.25,1
"Bečváry,Červený Hrádek","Bečváry,Červený Hrádek","Bečváry,Červený Hrádek","Bečváry,Červený Hrádek",Bečváry,KO,bus,301003,49.9408264,15.09889,-696819.2,-1065582.63,3
"Bečváry,Dolní Jelčany","Bečváry,Dolní Jelčany","Bečváry,Dolní Jelčany","Bečváry,Dolní Jelčany",Bečváry,KO,bus,301003,49.9274178,15.0498524,-700501.0,-1066612.0,2
"Bečváry,Hatě","Bečváry,Hatě","Bečváry,Hatě","Bečváry,Hatě",Bečváry,KO,bus,301003,49.9186325,15.0561905,-700174.7,-1067639.25,2
"Bečváry,Horní Jelčany","Bečváry,Horní Jelčany","Bečváry,Horní Jelčany","Bečváry,Horní Jelčany",Bečváry,KO,bus,301003,49.9305878,15.0499439,-700449.4,-1066263.5,2
"Bečváry,Poďousy","Bečváry,Poďousy","Bečváry,Poďousy","Bečváry,Poďousy",Bečváry,KO,bus,301003,49.9527054,15.1001644,-696560.1,-1064283.5,2
"Bečváry,Poďousy,rozc.","Bečváry,Poďousy,rozc.","Bečváry,Poďousy,rozcestí","Bečváry,Poďousy,rozc.",Bečváry,KO,bus,301003,49.9564552,15.1023817,-696349.25,-1063890.5,4
